dataset,method,seed,task,elapsed_sec,metric_accuracy,metric_f1,metric_precision,metric_recall,metric_roc_auc,metric_mae,metric_rmse,metric_r2
DILI,GAT,7,classification,11.59,0.84375,0.8888888888888888,0.8571428571428571,0.9230769230769231,0.8679900744416873,,,
DILI,SAGE,42,classification,2.6,0.7708333333333334,0.8166666666666667,0.765625,0.875,0.8205357142857143,,,
DILI,SAGE,123,classification,4.36,0.7604166666666666,0.8296296296296296,0.7567567567567568,0.9180327868852459,0.8285714285714286,,,
DILI,SAGE,7,classification,6.45,0.8125,0.8676470588235294,0.8309859154929577,0.9076923076923077,0.8704714640198512,,,
DILI,GINE,42,classification,1.41,0.7395833333333334,0.7619047619047619,0.8163265306122449,0.7142857142857143,0.8299107142857144,,,
DILI,GINE,123,classification,1.47,0.7708333333333334,0.8382352941176471,0.76,0.9344262295081968,0.8426229508196722,,,
DILI,GINE,7,classification,2.19,0.8645833333333334,0.9007633587786259,0.8939393939393939,0.9076923076923077,0.9086848635235732,,,
DILI,ChemBERTa,42,classification,42.47,0.6354166666666666,0.6728971962616822,0.7058823529411765,0.6428571428571429,0.6767857142857143,,,
DILI,ChemBERTa,123,classification,42.55,0.6458333333333334,0.7301587301587301,0.7076923076923077,0.7540983606557377,0.6833723653395785,,,
DILI,ChemBERTa,7,classification,42.38,0.75,0.8208955223880597,0.7971014492753623,0.8461538461538461,0.7429280397022333,,,
ClinTox,RF,42,classification,1.56,0.9292929292929293,0.0,0.0,0.0,0.7318840579710145,,,
ClinTox,RF,123,classification,1.53,0.898989898989899,0.0,0.0,0.0,0.7367472979927946,,,
ClinTox,RF,7,classification,1.55,0.936026936026936,0.0,0.0,0.0,0.7315410829231351,,,
ClinTox,XGB,42,classification,1.4,0.9393939393939394,0.4375,0.6363636363636364,0.3333333333333333,0.8326432022084196,,,
ClinTox,XGB,123,classification,1.37,0.9023569023569024,0.21621621621621623,0.5,0.13793103448275862,0.7963201235203294,,,
ClinTox,XGB,7,classification,1.36,0.9461279461279462,0.3333333333333333,0.8,0.21052631578947367,0.7709201060204467,,,
ClinTox,GCN,42,classification,22.12,0.6868686868686869,0.27906976744186046,0.16666666666666666,0.8571428571428571,0.7989993098688751,,,
ClinTox,GCN,123,classification,5.16,0.5959595959595959,0.22077922077922077,0.136,0.5862068965517241,0.6067936181163149,,,
ClinTox,GCN,7,classification,3.86,0.1414141414141414,0.12371134020618557,0.0661764705882353,0.9473684210526315,0.66565694812571,,,
ClinTox,GIN,42,classification,8.41,0.7811447811447811,0.32989690721649484,0.21052631578947367,0.7619047619047619,0.834023464458247,,,
ClinTox,GIN,123,classification,7.83,0.7643097643097643,0.375,0.25301204819277107,0.7241379310344828,0.8174215131240349,,,
ClinTox,GIN,7,classification,6.2,0.7205387205387206,0.2782608695652174,0.16666666666666666,0.8421052631578947,0.8093525179856115,,,
ClinTox,GAT,42,classification,17.65,0.6498316498316499,0.2571428571428571,0.15126050420168066,0.8571428571428571,0.714975845410628,,,
ClinTox,GAT,123,classification,10.43,0.7272727272727273,0.3076923076923077,0.20454545454545456,0.6206896551724138,0.7388059701492538,,,
ClinTox,GAT,7,classification,10.3,0.5892255892255892,0.22784810126582278,0.12949640287769784,0.9473684210526315,0.7813328284740628,,,
ClinTox,SAGE,42,classification,20.64,0.7138047138047138,0.2975206611570248,0.18,0.8571428571428571,0.7938233264320221,,,
ClinTox,SAGE,123,classification,15.34,0.7474747474747475,0.4,0.2604166666666667,0.8620689655172413,0.8167781780751415,,,
ClinTox,SAGE,7,classification,8.69,0.6127946127946128,0.22818791946308725,0.13076923076923078,0.8947368421052632,0.8351003407800076,,,
